SINAPI - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil,,,,
RELATÓRIO DE CUSTOS DE COMPOSIÇÕES - ENCARGOS SOCIAIS SEM DESONERAÇÃO,,,,
Grupo,"Código da
Composição",Descrição,Unidade,Custo (R$)
Instalações Hidráulicas - Reservação e Bombas de Recalque,96746,"LUVA, PPR, DN 110 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"124,49"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96736,"LUVA, PPR, DN 20 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"6,72"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96737,"LUVA, PPR, DN 25 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"6,90"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96739,"LUVA, PPR, DN 32 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"9,54"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96741,"LUVA, PPR, DN 40 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"18,62"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96742,"LUVA, PPR, DN 50 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"22,88"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96743,"LUVA, PPR, DN 63 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"35,74"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96744,"LUVA, PPR, DN 75 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"60,38"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96745,"LUVA, PPR, DN 90 MM, CLASSE PN 25, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"94,70"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94671,"LUVA, PVC, SOLDÁVEL, DN 110 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"110,62"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94661,"LUVA, PVC, SOLDÁVEL, DN 40 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"10,55"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94663,"LUVA, PVC, SOLDÁVEL, DN 50 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"13,28"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94665,"LUVA, PVC, SOLDÁVEL, DN 60 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"25,64"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94667,"LUVA, PVC, SOLDÁVEL, DN 75 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"37,71"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94669,"LUVA, PVC, SOLDÁVEL, DN 85 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"67,47"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105177,"NIPLE DE REDUÇÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 MM X 50 MM (3"" X 2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"143,29"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105176,"NIPLE DE REDUÇÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 MM X 65 MM (3"" X 2 1/2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"160,85"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94466,"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 MM (2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"54,58"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94468,"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 MM (2 1/2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"76,56"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94470,"NIPLE, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 MM (3""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"114,35"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105225,"TE DE REDUÇÃO, CPVC, DN 28 X 22 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"18,62"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105226,"TE DE REDUÇÃO, CPVC, DN 35 X 28 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"42,74"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105227,"TE DE REDUÇÃO, CPVC, DN 42 X 35 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"61,01"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105212,"TE DE REDUÇÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 MM X 50 MM (3"" X 2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"244,11"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105211,"TE DE REDUÇÃO, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 MM X 65 MM (3"" X 2 1/2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"246,32"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105189,"TE DE REDUÇÃO, PVC, SOLDÁVEL, 90 GRAUS, DN 50 MM X 25 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"23,34"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105190,"TE DE REDUÇÃO, PVC, SOLDÁVEL, 90 GRAUS, DN 50 MM X 32 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"28,84"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94625,"TE EM COBRE, DN 104 MM, SEM ANEL DE SOLDA, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"1.561,65"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94622,"TE EM COBRE, DN 54 MM, SEM ANEL DE SOLDA, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"213,09"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94623,"TE EM COBRE, DN 66 MM, SEM ANEL DE SOLDA, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"499,07"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94624,"TE EM COBRE, DN 79 MM, SEM ANEL DE SOLDA, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"748,79"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94763,"TE, CPVC, SOLDÁVEL, DN 114 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"377,63"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94756,"TE, CPVC, SOLDÁVEL, DN 22 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"13,91"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94757,"TE, CPVC, SOLDÁVEL, DN 28 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"21,72"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94758,"TE, CPVC, SOLDÁVEL, DN 35 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"54,12"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94759,"TE, CPVC, SOLDÁVEL, DN 42 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"68,87"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94760,"TE, CPVC, SOLDÁVEL, DN 54 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"109,42"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94761,"TE, CPVC, SOLDÁVEL, DN 73 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"235,36"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94762,"TE, CPVC, SOLDÁVEL, DN 89 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"286,35"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94689,"TÊ COM BUCHA DE LATÃO NA BOLSA CENTRAL, PVC, SOLDÁVEL, DN 25 MM X 3/4"", INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"10,30"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94702,"TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 110 MM X 60 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"196,05"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94691,"TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 32 MM X 25 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"14,66"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94693,"TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 40 MM X 32 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"19,21"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94695,"TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 50 MM X 40 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"33,18"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94698,"TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 75 MM X 50 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"70,77"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94700,"TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 85 MM X 60 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"136,12"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94477,"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 50 MM (2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"104,87"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94478,"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 65 MM (2 1/2""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"171,07"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94479,"TÊ, EM FERRO GALVANIZADO, CONEXÃO ROSQUEADA, DN 80 MM (3""), INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"221,91"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96764,"TÊ, PPR, DN 110 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"343,83"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105164,"TÊ, PPR, DN 20 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"12,19"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105165,"TÊ, PPR, DN 25 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"12,43"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96758,"TÊ, PPR, DN 32 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"19,04"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96759,"TÊ, PPR, DN 40 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"28,23"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96760,"TÊ, PPR, DN 50 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"46,11"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96761,"TÊ, PPR, DN 63 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"68,77"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96762,"TÊ, PPR, DN 75 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"129,67"
Instalações Hidráulicas - Reservação e Bombas de Recalque,96763,"TÊ, PPR, DN 90 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"173,68"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94701,"TÊ, PVC, SOLDÁVEL, DN 110 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"235,55"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94688,"TÊ, PVC, SOLDÁVEL, DN 25 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"7,67"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94690,"TÊ, PVC, SOLDÁVEL, DN 32 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"12,41"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94692,"TÊ, PVC, SOLDÁVEL, DN 40 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"20,77"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94694,"TÊ, PVC, SOLDÁVEL, DN 50 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"25,95"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94696,"TÊ, PVC, SOLDÁVEL, DN 60 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"53,64"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94697,"TÊ, PVC, SOLDÁVEL, DN 75 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"91,46"
Instalações Hidráulicas - Reservação e Bombas de Recalque,94699,"TÊ, PVC, SOLDÁVEL, DN 85 MM INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"121,00"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105167,"UNIÃO FLANGE, PPR, COM PARAFUSOS, DN 40 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,"242,46"
Instalações Hidráulicas - Reservação e Bombas de Recalque,105168,"UNIÃO FLANGE, PPR, COM PARAFUSOS, DN 50 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,-
Instalações Hidráulicas - Reservação e Bombas de Recalque,105171,"UNIÃO FLANGE, PPR, COM PARAFUSOS, DN 63 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,-
Instalações Hidráulicas - Reservação e Bombas de Recalque,105191,"UNIÃO FLANGE, PPR, COM PARAFUSOS, DN 75 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,-
Instalações Hidráulicas - Reservação e Bombas de Recalque,105192,"UNIÃO FLANGE, PPR, COM PARAFUSOS, DN 90 MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",UN,-
Instalações Hidráulicas em PEX,96798,"TUBO, PEX, MONOCAMADA, DN 16, INSTALADO EM RAMAL/SUB-RAMAL OU DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",M,"8,78"
Instalações Hidráulicas em PEX,96799,"TUBO, PEX, MONOCAMADA, DN 20, INSTALADO EM RAMAL/SUB-RAMAL OU DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",M,"11,22"
Instalações Hidráulicas em PEX,96800,"TUBO, PEX, MONOCAMADA, DN 25, INSTALADO EM RAMAL/SUB-RAMAL OU DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",M,"15,24"
Instalações Hidráulicas em PEX,96801,"TUBO, PEX, MONOCAMADA, DN 32, INSTALADO EM RAMAL/SUB-RAMAL OU DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",M,"22,98"
Instalações Hidráulicas em PEX,96809,"CONEXÃO FIXA, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 16 MM X 1/2"", COM ANEL DESLIZANTE. FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"20,32"
Instalações Hidráulicas em PEX,96812,"CONEXÃO FIXA, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20 MM X 1/2"", COM ANEL DESLIZANTE. FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"21,20"
Instalações Hidráulicas em PEX,96813,"CONEXÃO FIXA, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20 MM X 3/4"", COM ANEL DESLIZANTE. FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"24,15"
Instalações Hidráulicas em PEX,96817,"CONEXÃO FIXA, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 1"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"36,07"
Instalações Hidráulicas em PEX,96816,"CONEXÃO FIXA, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 3/4"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"27,21"
Instalações Hidráulicas em PEX,96821,"CONEXÃO FIXA, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 32 MM X 1"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"40,10"
Instalações Hidráulicas em PEX,96824,"CONEXÃO FIXA, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 16MM X 1/2"", CONEXÃO POR CRIMPAGEM - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"19,00"
Instalações Hidráulicas em PEX,96827,"CONEXÃO FIXA, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20MM X 1/2"", CONEXÃO POR CRIMPAGEM - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"20,68"
Instalações Hidráulicas em PEX,96828,"CONEXÃO FIXA, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20MM X 3/4"", CONEXÃO POR CRIMPAGEM - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"25,41"
Instalações Hidráulicas em PEX,96832,"CONEXÃO FIXA, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25MM X 3/4"", CONEXÃO POR CRIMPAGEM - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"31,77"
Instalações Hidráulicas em PEX,104525,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 16 MM X 1/2"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104563,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 16 MM X 3/4"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104531,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20 MM X 1/2"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104527,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20 MM X 3/4"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104529,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 1"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104564,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 1/2"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104533,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 3/4"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104535,"CONEXÃO FIXA, ROSCA MACHO, PARA INSTALAÇÕES EM PEX ÁGUA, DN 32 MM X 1"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,96810,"CONEXÃO MÓVEL, ROSCA FÊMEA, METÁLICA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 16 MM X 3/4"", COM ANEL DESLIZANTE. FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"22,09"
Instalações Hidráulicas em PEX,104524,"CONEXÃO MÓVEL, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 16 MM X 1/2"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104530,"CONEXÃO MÓVEL, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20 MM X 1/2"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104526,"CONEXÃO MÓVEL, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 20 MM X 3/4"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104528,"CONEXÃO MÓVEL, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 1"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104532,"CONEXÃO MÓVEL, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 25 MM X 3/4"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,104534,"CONEXÃO MÓVEL, ROSCA FÊMEA, PARA INSTALAÇÕES EM PEX ÁGUA, DN 32 MM X 1"", COM ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,-
Instalações Hidráulicas em PEX,96873,"DISTRIBUIDOR 2 SAÍDAS, METÁLICO, PARA INSTALAÇÕES EM PEX ÁGUA, ENTRADA DE 1"" X 2 SAÍDAS DE 1/2"", CONEXÃO POR ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"67,73"
Instalações Hidráulicas em PEX,96872,"DISTRIBUIDOR 2 SAÍDAS, METÁLICO, PARA INSTALAÇÕES EM PEX ÁGUA, ENTRADA DE 3/4"" X 2 SAÍDAS DE 1/2"", CONEXÃO POR ANEL DESLIZANTE - FORNECIMENTO E INSTALAÇÃO. AF_02/2023",UN,"51,14"
